,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,vaccinations,trends_covid,trends_vaccine
16,13.0,23636.0,493.7142857142857,983.4285714285714,22158.85714285714,3495.5714285714284,72.28571428571429,255.85714285714286,3167.4285714285716,0.02099671897522574,0.03821082759907695,505695.6857142862,0.0,0.0,3.7142857142857144
17,14.0,27220.571428571428,571.8571428571429,1316.142857142857,25332.571428571428,3584.5714285714284,78.14285714285714,332.7142857142857,3173.714285714286,0.02102419215790226,0.04486996873122432,506948.27571428614,0.0,0.0,3.7142857142857144
18,15.0,30559.571428571428,649.5714285714286,1711.7142857142858,28198.285714285714,3339.0,77.71428571428571,395.57142857142856,2865.714285714286,0.021166400049819598,0.052362328433163234,510796.6142857144,0.0,0.0,3.7142857142857144
19,16.0,33828.42857142857,733.4285714285714,2186.0,30909.0,3268.8571428571427,83.85714285714286,474.2857142857143,2710.714285714286,0.021489878733330976,0.061042090606697526,513102.2657142856,0.0,0.0,3.5714285714285716
20,17.0,36816.0,822.1428571428571,2732.714285714286,33261.142857142855,2987.5714285714284,88.71428571428571,546.7142857142857,2352.1428571428573,0.022097043677308578,0.07085168555096076,515578.04571428563,0.0,0.0,3.5714285714285716
21,18.0,39328.28571428572,901.2857142857143,3307.285714285714,35119.71428571428,2512.285714285714,79.14285714285714,574.5714285714286,1858.5714285714287,0.022713566338393835,0.08128667721363106,519395.9657142855,0.0,0.14285714285714285,3.5714285714285716
22,19.0,43553.857142857145,1006.5714285714286,3993.285714285714,38554.0,4225.571428571428,105.28571428571429,686.0,3434.285714285714,0.0230168565119656,0.08925803739394636,525559.2428571425,0.0,0.2857142857142857,3.5714285714285716
23,20.0,48198.57142857143,1121.4285714285713,4856.285714285715,42220.857142857145,4644.714285714285,114.85714285714286,863.0,3666.8571428571427,0.023282380190073365,0.09808743978338484,537711.3999999998,0.0,0.42857142857142855,3.4285714285714284
24,21.0,52758.857142857145,1244.2857142857142,5824.857142857143,45689.71428571428,4560.285714285715,122.85714285714286,968.5714285714286,3468.8571428571427,0.02362798460752805,0.10746118391936524,545135.0328571431,0.0,0.5714285714285714,3.4285714285714284
25,22.0,57198.142857142855,1367.7142857142858,6913.571428571428,48916.857142857145,4439.285714285715,123.42857142857143,1088.7142857142858,3227.1428571428573,0.023954781082549063,0.11770912441380237,552029.1571428574,0.0,0.7142857142857143,3.2857142857142856
26,23.0,61555.42857142857,1489.857142857143,8147.285714285715,51918.28571428572,4357.285714285715,122.14285714285714,1233.7142857142858,3001.4285714285716,0.02421326192035163,0.129058868810841,559432.1485714291,0.0,0.8571428571428571,3.2857142857142856
27,24.0,65889.85714285714,1617.7142857142858,9528.42857142857,54743.71428571428,4334.428571428572,127.85714285714286,1381.142857142857,2825.4285714285716,0.024482052061406218,0.1414081624351666,562563.0642857146,0.0,1.0,3.142857142857143
28,25.0,70236.0,1761.2857142857142,11095.57142857143,57379.142857142855,4346.142857142857,143.57142857142858,1567.142857142857,2635.4285714285716,0.02495977409414615,0.15558059960709839,565491.1971428575,0.0,1.0,3.0
29,26.0,72497.42857142857,1886.5714285714287,12793.42857142857,57817.42857142857,2261.4285714285716,125.28571428571429,1697.857142857143,438.2857142857143,0.02592994911877095,0.17476568930470146,565838.0542857146,0.0,1.0,3.0
30,27.0,73916.28571428571,1990.7142857142858,14341.285714285714,57584.28571428572,1418.857142857143,104.14285714285714,1547.857142857143,-233.14285714285714,0.02686495078593571,0.19268583897089414,562213.9600000002,0.0,1.0,3.0
31,28.0,75280.57142857143,2104.0,16268.857142857143,56907.71428571428,1364.2857142857142,113.28571428571429,1927.5714285714287,-676.5714285714286,0.027887443097401498,0.21484724971264893,563623.8157142854,0.0,1.1428571428571428,3.0
32,29.0,76387.28571428571,2204.0,18058.571428571428,56124.71428571428,1106.7142857142858,100.0,1789.7142857142858,-783.0,0.028805387666740255,0.23536963446194686,563052.5799999995,0.0,1.2857142857142858,3.142857142857143
33,30.0,77283.85714285714,2312.8571428571427,19864.85714285714,55106.142857142855,896.5714285714286,108.85714285714286,1806.2857142857142,-1018.5714285714286,0.02988651409040985,0.2561414307426763,557748.3542857135,0.0,1.5714285714285714,3.2857142857142856
34,31.0,78033.42857142857,2413.1428571428573,21801.0,53819.28571428572,749.5714285714286,100.28571428571429,1936.142857142857,-1286.857142857143,0.030884757582508564,0.2784426407278652,556545.9999999994,0.0,1.8571428571428572,3.7142857142857144
35,32.0,78851.14285714286,2505.714285714286,23838.85714285714,52506.57142857143,817.7142857142857,92.57142857142857,2037.857142857143,-1312.7142857142858,0.03174034339636676,0.301343827778771,555017.6942857137,0.0,2.2857142857142856,4.142857142857143
36,33.0,79783.14285714286,2586.5714285714284,25995.85714285714,51200.71428571428,932.0,80.85714285714286,2157.0,-1305.857142857143,0.032385361877253535,0.324727701613469,554730.5699999997,0.0,2.857142857142857,4.428571428571429
37,34.0,80823.28571428571,2675.285714285714,28541.285714285714,49606.71428571428,1040.142857142857,88.71428571428571,2545.4285714285716,-1594.0,0.03307757719867932,0.3519465122068609,553848.3985714283,0.0,3.4285714285714284,4.857142857142857
38,35.0,81882.0,2744.285714285714,30954.428571428572,48183.28571428572,1058.7142857142858,69.0,2413.1428571428573,-1423.4285714285713,0.033494711583192435,0.3764177426317818,551144.047142857,0.0,3.857142857142857,5.142857142857143
39,36.0,83226.57142857143,2819.4285714285716,33714.857142857145,46692.28571428572,1344.5714285714287,75.14285714285714,2760.4285714285716,-1491.0,0.03386910514402539,0.40314098728888226,549472.1528571427,0.0,4.285714285714286,5.428571428571429
40,37.0,84773.85714285714,2884.4285714285716,36625.42857142857,45264.0,1547.2857142857142,65.0,2910.5714285714284,-1428.2857142857142,0.034022270930260244,0.4299162673503962,548816.7557142858,0.0,4.857142857142857,5.857142857142857
41,38.0,86569.85714285714,2948.714285714286,39528.57142857143,44092.57142857143,1796.0,64.28571428571429,2903.1428571428573,-1171.4285714285713,0.03406258614049225,0.45443772679923883,549522.3942857144,0.0,5.428571428571429,6.0
