,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,people_vaccinated,total_tests,icu_patients,hosp_patients,median_age,trends_covid,trends_vaccine
40,40,90377,3085,45601,41691,1983.0,89.0,2884.0,-990.0,0.03413479093132102,0.5045642143465705,497394.2200000001,0.0,181788.0,176.0,956.0,35.715,7.0,7.0
41,41,92971,3160,48227,41584,2594.0,75.0,2626.0,-107.0,0.0339890933732024,0.5187316475029848,510847.7,0.0,234951.0,241.0,1317.0,35.533734939759036,7.0,7.0
42,42,95279,3255,51169,40855,2308.0,95.0,2942.0,-729.0,0.034162827065775246,0.5370438396708613,514024.9200000019,0.0,313641.0,325.0,1710.0,35.404545454545456,8.0,6.0
43,43,98090,3349,53795,40946,2811.0,94.0,2626.0,91.0,0.0341421143847487,0.5484249158935671,546933.5700000005,0.0,302516.0,389.0,2227.0,35.31666666666667,9.0,7.0
44,44,102003,3460,55863,42680,3913.0,111.0,2068.0,1734.0,0.03392057096359911,0.547660362930502,651112.1999999976,0.0,381640.0,520.0,2958.0,34.92604166666666,11.0,6.0
45,45,106098,3564,58357,44177,4095.0,104.0,2494.0,1497.0,0.03359158513826839,0.5500292182699014,660566.7600000012,0.0,423466.0,633.0,3358.0,34.83917525773195,11.0,5.0
46,46,110047,3803,60694,45550,3949.0,239.0,2337.0,1373.0,0.03455796159822621,0.55152798349796,511134.40000000084,0.0,390721.0,677.0,4368.0,34.922999999999995,12.0,5.0
47,47,114219,3993,62493,47733,4172.0,190.0,1799.0,2183.0,0.034959157408137,0.5471331389698737,509657.3000000005,0.0,424089.0,831.0,5267.0,34.87087378640776,17.0,7.0
48,48,119041,4267,64400,50374,4822.0,274.0,1907.0,2641.0,0.03584479297048916,0.5409900790483951,513437.1299999999,0.0,534269.0,1003.0,6263.0,34.64666666666666,20.0,7.0
49,49,126702,4611,66998,55093,7661.0,344.0,2598.0,4719.0,0.03639247999242316,0.5287840760208994,514703.0900000004,0.0,526383.0,1182.0,7313.0,34.1162162162162,26.0,8.0
50,50,132492,4917,68321,59254,5790.0,306.0,1323.0,4161.0,0.037111674667149715,0.5156613229478006,505190.62999999936,0.0,366256.0,1352.0,8372.0,33.999999999999986,42.0,13.0
51,51,146876,5414,70248,71214,14384.0,497.0,1927.0,11960.0,0.03686102562705956,0.47828099893787956,553894.2299999999,0.0,646333.0,1412.0,9454.0,33.72352941176469,49.0,16.0
52,52,157950,5834,72620,79496,11074.0,420.0,2372.0,8282.0,0.03693573915796138,0.45976574865463754,515636.6200000001,0.0,567596.0,1932.0,10734.0,33.12290076335876,46.0,13.0
53,53,169219,6475,76031,86713,11269.0,641.0,3411.0,7217.0,0.0382640247253559,0.4493053380530555,400378.15000000043,0.0,767982.0,1864.0,13006.0,32.79259259259257,57.0,13.0
54,54,184027,7153,78086,98788,14808.0,678.0,2055.0,12075.0,0.038869296353252515,0.42431817070321204,403248.3500000002,0.0,905218.0,2112.0,14455.0,32.384285714285696,70.0,18.0
55,55,199970,7967,80830,111173,15943.0,814.0,2744.0,12385.0,0.039840976146421965,0.4042106315947392,379183.79999999964,0.0,834518.0,3076.0,19570.0,32.379020979020964,75.0,17.0
56,56,219535,8874,83317,127344,19565.0,907.0,2487.0,16171.0,0.04042180062404628,0.3795157947479901,364942.8899999998,0.0,864058.0,3438.0,21977.0,32.22448979591835,75.0,16.0
57,57,246584,9985,84958,151641,27049.0,1111.0,1641.0,24297.0,0.04049330045745061,0.3445397917139798,358001.55999999837,0.0,1416170.0,4039.0,25376.0,32.057333333333325,78.0,14.0
58,58,277359,11470,87403,178486,30775.0,1485.0,2445.0,26845.0,0.04135434581174579,0.3151258837823903,381094.32000000094,0.0,1522746.0,4867.0,27652.0,31.543312101910818,81.0,12.0
59,59,309350,13192,91650,204508,31991.0,1722.0,4247.0,26022.0,0.04264425408113787,0.29626636495878456,333481.8200000001,0.0,1764133.0,5507.0,30875.0,31.371069182389924,84.0,11.0
60,60,344205,14877,97867,231461,34855.0,1685.0,6217.0,26953.0,0.04322133612236894,0.28432765357853607,267363.4599999997,0.0,2480449.0,6036.0,34889.0,31.133742331288335,94.0,13.0
61,61,387040,16826,98335,271879,42835.0,1949.0,468.0,40418.0,0.04347354278627532,0.2540693468375362,291176.8100000006,0.0,2172805.0,6936.0,38530.0,31.096341463414625,100.0,18.0
62,62,428219,19116,107974,301129,41179.0,2290.0,9639.0,29250.0,0.044640709543481254,0.25214668195479417,289838.06,0.0,2342496.0,7928.0,42309.0,31.055757575757564,95.0,15.0
63,63,479220,21926,113753,343541,51001.0,2810.0,5779.0,42412.0,0.04575351613037853,0.23737114477692917,291922.9000000004,0.0,2588984.0,8960.0,46815.0,30.89820359281436,96.0,11.0
64,64,542097,24962,122125,395010,62877.0,3036.0,8372.0,51469.0,0.04604710965011797,0.22528256013222725,296039.7999999998,0.0,2719089.0,9764.0,51128.0,30.89820359281436,92.0,11.0
65,65,607138,28450,130910,447778,65041.0,3488.0,8785.0,52768.0,0.046859198402998986,0.21561819553379957,315857.45999999985,0.0,3259245.0,10671.0,63019.0,30.887499999999985,98.0,11.0
66,66,674418,32180,139421,502817,67280.0,3730.0,8511.0,55039.0,0.04771521519295155,0.20672787499740516,280418.7300000002,0.0,3517922.0,11640.0,67477.0,30.887499999999985,98.0,11.0
67,67,733655,35699,148877,549079,59237.0,3519.0,9456.0,46262.0,0.04865911088999598,0.20292508058965045,242864.2399999992,0.0,4554252.0,12347.0,71996.0,30.811834319526614,94.0,12.0
68,68,798949,39780,164214,594955,65294.0,4081.0,15337.0,45876.0,0.049790412153967276,0.20553752492336808,275451.2500000001,0.0,3742622.0,13332.0,76532.0,30.78235294117646,92.0,11.0
69,69,875794,44528,177804,653462,76845.0,4748.0,13590.0,58507.0,0.05084300646042334,0.2030203449669671,274571.46,0.0,4677656.0,14402.0,80527.0,30.719075144508658,90.0,10.0
70,70,958586,50527,193076,714983,82792.0,5999.0,15272.0,61521.0,0.05270992899958898,0.20141750453271798,281879.02,0.0,5041092.0,15408.0,85040.0,30.637209302325573,94.0,11.0
71,71,1041649,56414,210219,775016,83063.0,5887.0,17143.0,60033.0,0.0541583585257606,0.2018136627597204,283661.99999999924,0.0,5582095.0,18338.0,87966.0,30.637209302325573,93.0,11.0
72,72,1125200,62574,225641,836985,83551.0,6160.0,15422.0,61969.0,0.05561144685389264,0.20053412726626377,299407.8300000011,0.0,6158302.0,19360.0,91195.0,30.637209302325573,92.0,12.0
73,73,1183589,68490,246053,869046,58389.0,5916.0,20412.0,32061.0,0.05786637084325724,0.20788719732947838,268550.32000000076,0.0,6162606.0,19817.0,94255.0,30.637209302325573,90.0,12.0
74,74,1256181,73676,259889,922616,72592.0,5186.0,13836.0,53570.0,0.058650783605228865,0.20688817933084483,237081.79999999978,0.0,8913104.0,20392.0,93973.0,30.571098265895944,88.0,12.0
75,75,1329324,79614,276598,973112,73143.0,5938.0,16709.0,50496.0,0.059890591007158524,0.20807417905642267,279479.2499999997,0.0,7903514.0,20751.0,99039.0,30.50287356321838,92.0,10.0
76,76,1399153,87875,299860,1011418,69829.0,8261.0,23262.0,38306.0,0.06280585468494153,0.2143153750876423,286713.1100000006,0.0,8563041.0,21178.0,99661.0,30.50287356321838,86.0,10.0
77,77,1482508,94681,328742,1059085,83355.0,6806.0,28882.0,47667.0,0.06386542264864675,0.22174720136417475,290891.6499999993,0.0,9290524.0,21128.0,102702.0,30.50287356321838,84.0,9.0
78,78,1569527,102464,353996,1113067,87019.0,7783.0,25254.0,53982.0,0.06528336243976689,0.2255431094845772,290396.6299999996,0.0,10020636.0,21081.0,100655.0,30.50287356321838,81.0,10.0
79,79,1655062,109842,375734,1169486,85535.0,7378.0,21738.0,56419.0,0.06636730225212106,0.2270211025327148,308928.5999999997,0.0,10613099.0,21097.0,101227.0,30.444571428571418,81.0,10.0
80,80,1729373,116015,401984,1211374,74311.0,6173.0,26250.0,41888.0,0.0670850071095131,0.2324449381365385,280139.6899999998,0.0,11218870.0,20877.0,100890.0,30.444571428571418,75.0,9.0
81,81,1849067,121873,421367,1305827,119694.0,5858.0,19383.0,94453.0,0.06591053758463052,0.2278808718126493,201141.49999999948,0.0,13528916.0,20809.0,101550.0,30.444571428571418,71.0,9.0
82,82,1919799,127843,448624,1343332,70732.0,5970.0,27257.0,37505.0,0.06659186716942764,0.2336827970011444,271347.7400000001,0.0,12894850.0,20705.0,104153.0,30.444571428571418,81.0,10.0
